id,tourney_name
750,Prague II
751,Astana II
752,Irving
753,Nanchang
754,Padova
755,Chitre
756,Cali II
757,Gimcheon
758,Vicenza
759,Brescia
760,Indore
761,Vercelli
762,Mohammedia
763,Morelos
764,Mouilleron Le Captif
765,Suzhou
766,Potro Alegre
767,Happy Valley
768,St Brieuc
769,Agri
770,Batman
771,Alphen
772,Cary
773,Braunchweig
774,Kobe
775,Corrientes
776,Glasgow
777,Raanana
778,Drummondville
779,Hua Hin
780,Santo Domingo
781,Ilkley
782,Slovakia
783,Perugia
784,Monte-Carlo
785,Lahaina
786,Jonkoping
787,Zhuhai
788,Gwangju
789,Nanjing
790,Turino
791,Anning
792,Poprad
793,San Benedetto del Tronto
794,Winnipeg
795,Fano
796,Gatineau
797,Qingdao
798,Stockton
799,Nongbo
800,Bangkok 
801,Koblenz
802,Cuernavaca
803,Tigre
804,Quanzhou
805,Saint Brieuc
806,Sophia Antipolis
807,Francavilla Al Mare
808,Rome 
809,Shymkent
810,Poprad-Tatry
811,Floridablanca
812,Jinan
813,Zhangjiagang
814,Tashkent 
815,Ismaning
816,Next Gen Finals
817,Playford
818,Newport Beach
819,Lille
820,Qujing
821,St.Brieuc
822,Braga
823,L'Aquila
824,Poprad Tatry
825,Pullach
826,Cassis
827,nan
