name,age,height
Brenda Coassolo,19.3374401095,nan
Maria Jose Argeri,18.6283367556,nan
Celeste Contin,25.037645448299997,nan
Michelle Summerside,24.832306639299997,nan
Nicole Leimbach,17.2703627652,nan
Lyndsay Reilly,24.0328542094,nan
Hanna Nooni,19.1156741958,nan
Natalia Garbellotto,19.2169746749,nan
Nadejda Ostrovskaya,22.4750171116,nan
Mandy Minella,17.4099931554,nan
Kaia Kanepi,17.8617385352,181.0
Margit Ruutel,19.627652293,nan
Tsvetana Pironkova,15.6030116359,180.0
Nana Urotadze,16.8377823409,nan
Margalita Chakhnashvili,20.3641341547,nan
Katarina Misic,27.2060232717,nan
Tinatin Kavlashvili,16.1943874059,nan
Desislava Topalova,24.8678986995,nan
Dragana Zaric,25.7193702943,nan
Magda Mihalache,21.7905544148,nan
Mette Iversen,23.2991101985,nan
Karina Ildor Jacobsgaard,23.3018480493,nan
Amanda Hopmans,27.189596166999998,nan
Miriam Oremans,30.611909650900003,nan
Yvonne Doyle,28.369609856300002,nan
Elsa Oriain,20.5831622177,nan
Da Jung Hong,17.210130047899998,nan
Young Ja Choi,27.893223819299998,nan
Eden Marama,17.18275154,nan
Si Nga Lee,17.363449692,nan
Po Kuen Lam,21.0020533881,nan
Jin Young Choi,23.657768651599998,nan
Mi Ok Kim,24.553045859,nan
Kristin Godridge,30.1984941821,nan
Su Wei Hsieh,17.2922655715,169.0
Suchanun Viratprasert,20.3011635866,nan
Chen Yee Liaw,17.193702943199998,nan
Chin Bee Khoo,25.9630390144,nan
Marina Spakova,16.6351813826,nan
Karina Jarlkaganova,18.3655030801,nan
Norzafira Taufik,16.295687885,nan
Francesca La&#39;O,26.954140999299998,nan
Czarina Mae Arevalo,17.9356605065,nan
Gurianna Korinihona,18.4585900068,nan
Maylani Ah Hoy,27.572895277199997,nan
Yulia Klimchenko,19.8275154004,nan
Kunykei Koichumananova,14.5735797399,nan
Jana Nejedly,28.8651608487,nan
Jessica Sweeting,14.71321013,nan
Nikkita Fountain,19.0746064339,nan
Estefania Craciun,16.3011635866,nan
Jessica Fernandez,23.7563312799,nan
Bruna Colosio,22.5188227242,nan
Amanda Melgarejo,16.0602327173,nan
Maria Angela Ferreira,18.3107460643,nan
Marcela Ivon Rodezno Hernandez,18.2806297057,nan
Liz Cruz,17.749486652999998,nan
Elsa Serrano Eduards,17.1553730322,nan
Yanet Nunez Mojarena,21.8015058179,nan
Sarah Tami Masi,18.8473648186,nan
Yamile Fors Guerra,25.943874058899997,nan
Paola Iovino,17.0732375086,nan
Natalia Baez,15.9917864476,nan
Avel Romaly Coronado,17.8179329227,nan
Vanessa Masalles,16.8624229979,nan
Vilmarie Castellvi,22.1026694045,nan
Maria Teresa Salame,15.583846680399999,nan
Estefania Balda Alvarez,15.8083504449,nan
Julia Roca Valverde,19.2005475702,nan
Karla Golfin,32.1998631075,nan
Andrea Brenes,16.7665982204,nan
Valentina Castro,21.7796030116,nan
Megan Moulton Levy,18.1300479124,nan
Alanna Broderick,22.6913073238,nan
Maria Fernanda Alvarez Teran,14.1409993155,nan
Monica Poveda,24.2929500342,nan
Sasha Fisher,16.205338809,nan
Zarah De Silva,19.0143737166,nan
Danielle Cosgrove,16.457221081500002,nan
Lisa Fung Kee Fung,18.0479123888,nan
Ashley Brooks,14.926762491400002,nan
Kadija Richards,23.2607802875,nan
Maria Irene Squillaci Sandoval,15.570157426400002,nan
Ana Catarina Nogueira,24.602327173200003,nan
Pemra Ozgen,16.9719370294,nan
Karoline Borgersen,26.822724161500002,nan
Ina Sartz,21.607118412,nan
Nikoleta Kipritidou,17.6317590691,nan
Irina Kuzmina,17.2785763176,nan
Linda Svarena,17.281314168399998,nan
Samia Medjahdi,18.305270362799998,nan
Sihem Ben Youcef,23.3921971253,nan
Ilona Giberte,18.4366872005,nan
Sana Ben Salah,19.362080766600002,nan
Heidi El Tabakh,16.5886379192,nan
Dijana Stojic,14.781656399700001,nan
Mervana Jugic Salkic,22.954140999299998,nan
Yomna Farid,19.832991102,nan
Tapiwa Marobela,15.9945242984,nan
Lesedi Ramocha,22.4120465435,nan
Essi Laine,18.7515400411,nan
Adriana Basaric,21.1909650924,nan
Noha Mohsen,18.5900068446,nan
Amani Khalifa,18.8829568789,nan
Kelesitse Makgale,28.251882272399996,nan
Carina Bjornstrom,17.5934291581,nan
Lina Stanciute,17.2183436003,nan
Habiba Ifrakh,25.152635181399997,nan
Edita Liachoviciute,27.055441478400002,nan
Lisa Camenzuli,26.2806297057,nan
Sarah Wetz,22.7953456537,nan
Egle Petrauskaite,17.9356605065,nan
Stephanie Pace,16.6789869952,nan
Natalie Grandin,22.373716632399997,nan
Olivia Lukaszewicz,15.3429158111,nan
Trudi Musgrave,26.3572895277,nan
Sophie Ferguson,17.837097878199998,nan
Sandrine Testud,32.1396303901,nan
Zuzana Kucova,21.9110198494,nan
Sanda Mamic,19.1731690623,nan
Kelly Mccain,21.1854893908,nan
Kveta Peschke,28.8761122519,165.0
Martina Navratilova,47.597535934300005,173.0
Nicole Vaidisova,15.353867214200001,181.0
Sesil Karatantcheva,15.06091718,171.0
Anna Chakvetadze,17.489390828199998,170.0
Nan Nan Liu,21.1991786448,nan
Evgenia Linetskaya,17.749486652999998,nan
Shikha Uberoi,21.4045174538,nan
Galina Voskoboeva,19.066392881600002,183.0
Neha Uberoi,18.0260095825,nan
Shahar Peer,16.7967145791,170.0
Isha Lakhani,18.8008213552,nan
Galina Fokina,20.082135523599998,nan
Ankita Bhambri,17.3032169747,nan
Megan Falcon,18.598220397000002,nan
Lana Popadic,20.8350444901,nan
Alisa Kleybanova,14.647501711199999,181.0
Michaela Pastikova,24.0246406571,nan
Kyra Nagy,26.266940451700002,nan
Neuza Silva,20.9418206708,nan
Dominika Nociarova,20.0355920602,nan
Andreja Klepac,18.12183436,nan
Yvonne Meusburger,20.5639972621,nan
Kristen Schlukebir,19.8275154004,nan
Lenka Nemeckova,28.016427104699996,nan
Timea Bacsinszky,14.940451745399999,nan
Ana Ivanovic,16.5284052019,183.0
Katie Obrien,18.1382614648,nan
Emily Webley Smith,19.9370294319,nan
Delia Sescioreanu,18.3436002738,nan
Anastasia Yakimova,17.7138945927,165.0
Giulia Casoni,26.250513347,nan
Aleksandra Wozniak,16.9034907598,175.0
Magdalena Kiszczynska,16.3203285421,nan
Alice Canepa,26.2778918549,nan
Klaudia Jans Ignacik,19.874058863800002,nan
Elizabeth Kobak,16.221765913800002,nan
Ayu Fani Damayanti,15.789185489400001,nan
Aiko Nakamura,20.7118412047,163.0
Na Li,22.5653661875,172.0
Sunitha Rao,18.918548939100003,nan
So Jung Kim,18.5297741273,nan
Katerina Bohmova,46.68035592060001,nan
Capucine Rousseau,24.4353182752,nan
Caroline Maes,21.883641341500002,nan
Nina Bratchikova,19.2498288843,nan
Yulia Fedossova,16.2600958248,nan
Ekaterina Bychkova,19.3511293634,171.0
Olga Savchuk,17.0595482546,175.0
Elena Vesnina,18.2532511978,176.0
Stephanie Dubois,18.0041067762,nan
Melanie Gloria,17.3716632444,nan
Daniela Kix,20.0301163587,nan
Anouska Van Exel,29.5112936345,nan
Nicole Rencken,22.8528405202,nan
Tatsiana Uvarova,18.735112936300002,nan
Maria Rasmussen,25.6646132786,nan
Karolina Kosinska,17.839835729,nan
Anna Gerasimou,16.5119780972,nan
Asimina Kaplani,20.4791238877,nan
Marina Erakovic,16.1204654346,174.0
Wei Juan Liu,21.138945927400002,nan
Jie Hao,19.5071868583,nan
Shu Jing Yang,19.537303217,nan
Alyssa Ann Labay,17.8316221766,nan
Anna Patricia Santos,24.2847364819,nan
Sandy Gumulya,18.0479123888,nan
I Hsuan Hwang,15.575633128,nan
Kyung Mi Chang,22.146475017100002,nan
Vlada Ekshibarova,15.099247090999999,nan
Miriam Cruz,18.746064339500002,nan
Andrea Giraldo,16.2491444216,nan
Karen Castiblanco,16.2765229295,nan
Maria Calbeto,16.9965776865,nan
Bianca Gorbea,17.3360711841,nan
Larissa Carvalho,19.112936345,nan
Maria Eugenia Roca Recarey,14.9596167009,nan
Camila Belassi,16.0958247775,nan
Pamela Duran Vinueza,17.169062286099997,nan
Luisa Elfride Lopez,23.1759069131,nan
Lucia Henkle Gomez,19.8548939083,nan
Larissa Schaerer,29.0130047912,nan
Maria Rossana Vega Saguier,17.793292265599998,nan
Monica Hoz De Vila,18.8254620123,nan
Chandra Capozzi,17.065023956199997,nan
Mariana Muci Torres,16.1752224504,nan
Wei Ping Lee,14.4065708419,nan
Hazar Sidki,20.0301163587,nan
Rui Jing Wong,21.993155373,nan
Lara Alsamman,17.0184804928,nan
Ummarahmat Hummetova,18.9295003422,nan
Jenneta Halliyeva,21.2183436003,nan
Irene George,20.4407939767,nan
Yekaterina Morozova,16.2080766598,nan
Pei Ling Tong,14.855578370999998,nan
Amina Rakhim,15.1540041068,nan
Yun Ling Ng,15.3456536619,nan
Nivin Kezbari,19.258042436700002,nan
Madina Rakhim,18.945927447,nan
Almira Hallyeva,18.250513347000002,nan
Veronika Babayan,15.917864476400002,nan
Gabriela Mejia Tenorio,15.162217659100001,nan
Cigdem Duru,17.971252566700002,nan
Sofia Melikishvili,16.9609856263,nan
Aliaa Fakhry,16.295687885,nan
Salome Devidze,18.3134839151,nan
Monica Niculescu,16.5859000684,168.0
Simona Iulia Matei,18.803559206,nan
Karen Saravia,18.8145106092,nan
Darya Kustova,18.102669404500002,nan
Liza Andriyani,25.393566050700002,nan
Liga Dekmeijere,20.933607118399998,nan
Anzela Zguna,30.527036276500002,nan
Ines Zouabi,24.386036961,nan
Meera Kantaria,15.1676933607,nan
Wanjika Ngaruiya,14.9212867899,nan
Evelyn Otula,29.3305954825,nan
Laone Botshoma,16.7802874743,nan
Rosanne Dimech,18.496919917899998,nan
Selma Babic,15.7645448323,nan
Sanja Racic,16.073921971300003,nan
Elna De Villiers,17.8754277892,nan
Alet Boonzaaier,21.2156057495,nan
Elrien De Villiers,15.786447638599999,nan
Gabriela Niculescu,17.8863791923,nan
Selima Frioui,16.7501711157,nan
Caroline Oduor,17.971252566700002,nan
Hana Sromova,26.850102669400002,nan
Mailyne Andrieux,17.4757015743,nan
Sandra Kloesel,25.9192334018,nan
Lucie Safarova,18.2970568104,177.0
Alize Cornet,15.3319644079,173.0
Mathilde Johansson,20.0684462697,173.0
Aravane Rezai,18.1930184805,165.0
Rebecca Llewellyn,19.7070499658,nan
Sabine Klaschka,24.8651608487,nan
Yung Jan Chan,16.0328542094,170.0
Vania King,16.4900752909,165.0
Pauline Parmentier,19.575633128,175.0
Jaslyn Hewitt,21.8617385352,nan
Daniella Jeflea,17.9958932238,nan
Martina Hingis,24.336755646799997,170.0
Shiho Hisamatsu,25.5989048597,nan
Laura Pous Tio,20.372347707,nan
Agnes Szavay,16.128678987,168.0
Maria Jose Lopez Herrera,20.369609856300002,nan
Rosa Maria Andres Rodriguez,27.7344284736,nan
Julie Ditty,26.1327857632,nan
Erica Krauth,23.759069130700002,nan
Andrea Hlavackova,18.746064339500002,174.0
Katarina Kachlikova,19.9534565366,nan
Anna Tatishvili,15.1266255989,171.0
Jewel Peterson,23.5263518138,nan
Alexa Glatch,15.4880219028,nan
Nathalie Vierin,22.5653661875,nan
Cagla Buyukakcay,15.6303901437,nan
Caroline Wozniacki,15.0198494182,177.0
Cory Ann Avants,20.4845995893,nan
Romina Oprandi,19.3045859001,nan
Varvara Lepchenko,19.2169746749,180.0
Alla Kudryavtseva,17.7631759069,nan
Mary Gambale,16.6954140999,nan
Tiffany Dabek,25.4592744695,nan
Tomoko Yonemura,23.2005475702,nan
Victoria Azarenka,16.1368925394,180.0
Junri Namigata,23.2087611225,nan
Ana Vrljic,21.1334702259,nan
Masa Zec Peskiric,18.6611909651,nan
Eva Hrdinova,21.281314168399998,nan
Sheng Nan Sun,18.6803559206,nan
Meng Yuan,19.3839835729,nan
Yan Chong Chen,18.4804928131,nan
Yan Ze Xie,21.708418891199997,nan
Ayumi Morita,15.5646817248,163.0
Evgeniya Rodina,16.6598220397,nan
Olena Antypina,26.5434633812,nan
Mariya Koryttseva,20.3586584531,nan
Ana Timotic,22.7789185489,nan
Tamira Paszek,14.882956878900002,165.0
Yaroslava Shvedova,18.135523614,180.0
Ahsha Rolle,20.6132785763,nan
Stefanie Voegele,15.318275154,170.0
Eveline Vanhyfte,21.081451060899997,nan
Leslie Butkiewicz,22.8966461328,nan
Romana Tedjakusuma,28.733744011,nan
Dominika Cibulkova,16.1615331964,161.0
Magdalena Rybarikova,16.7474332649,180.0
Anja Vanessa Peter,16.5886379192,nan
Denise Dy,15.923340178,nan
Shaza Tinawi,24.213552361399998,nan
Inna Gavrilenko,14.3052703628,nan
Dilyara Saidkhodjaeva,15.2169746749,nan
Maria Penkova,20.8131416838,nan
Anett Kaasik,18.8692676249,nan
Johanna Larsson,16.6680355921,174.0
Brenda Schultz Mccarthy,34.3052703628,nan
Tina Krizan,31.0855578371,nan
Ana Jovanovic,20.3039014374,nan
Shao Fang Ong,14.7241615332,nan
Tatyana Ignatchenko,16.1889117043,nan
