name,age,height
Nicola Spear,24.2026009582,nan
John Mcdonald,37.251197809699995,nan
Allan Skelton,nan,nan
Giordano Maioli,nan,nan
Nicholas Kalogeropoulos,23.2114989733,nan
Franco Bartoni,19.586584531099998,nan
Guiliano Fanfani,nan,nan
Ilie Nastase,21.7987679671,183.0
Jaime Pinto Bravo,28.574948665300003,nan
Roberto Valerio,nan,nan
Marco Gilardelli,nan,nan
Vittorio Crotta,nan,nan
Sever Dron,nan,nan
Sergio Tacchini,nan,nan
Gary Kesl,nan,nan
Michele Pirro,nan,nan
Ion Tiriac,28.9938398357,nan
Vladimir Korotkov,20.0355920602,nan
Francesco Giordano,nan,nan
Ciccio Gorla,nan,nan
Boro Jovanovic,28.542094455900003,nan
Richard Hawkes,nan,nan
B Moreau,nan,nan
Ken Weatherley,20.2108145106,nan
Alain Bouteleux,nan,nan
Thierry Bernasconi,nan,nan
Patrice Dominguez,18.075290896600002,173.0
Jacques Thamin,15.715263518099999,nan
Patrick Proisy,18.4147843943,180.0
Christian Duxin,nan,nan
Pierre Joly,nan,nan
Jean Louis Thiebaut,nan,nan
Francois Matheu,nan,nan
Henri Pellizza,nan,nan
Gerald Pilet,nan,nan
Eric Derasse,nan,nan
John De Mendoza,18.466803559200002,nan
Jean Paul Meyer,nan,nan
Pierre Dufour,nan,nan
Denis Grozdanovitch,nan,nan
Andrzej Licis,nan,nan
Pierre Darmon,34.069815195100006,nan
Frantisek Pala,23.868583162199997,nan
Hans Kary,19.4880219028,nan
Tom Karp,21.853524982899998,nan
Jan Eric Lundquist,31.351129363400002,nan
Reyno Summers,nan,nan
John Gardner,nan,nan
Marian Laudin,nan,nan
Bryan Burrell,nan,nan
Jorgen Ulrich,32.9171800137,nan
Dimitri Sturdza,29.6947296372,nan
Jean Pierre Loizeau,nan,nan
Jan Leschly,27.40862423,nan
Manuel Santana,29.749486653,nan
Luis Rojas,nan,nan
Wanaro Ngodrella,18.718685831600002,nan
Robert Sherman,48.4873374401,nan
Alex Geuer,nan,nan
Henry Hank Irvine,24.8514715948,nan
Jost Remmert,nan,nan
Petr Strobl,nan,nan
Desmond Mckenzey,21.5277207392,nan
Matthias Mauritz,nan,nan
Karl Fichtel,nan,nan
Rainer Janson,nan,nan
Attila Korpas,nan,nan
Christian Pieper,nan,nan
Gordon Forbes,34.338124572199995,nan
Roger Becker,34.379192334,nan
Derek Schroder,nan,nan
Terry Ryan,26.160164271,nan
Michael Sangster,27.783709787800003,nan
Robert Haillet,nan,nan
Lew Hoad,33.5852156057,nan
Michael Davies,32.4572210815,183.0
Alan Mills,32.6324435318,nan
Abe Segal,37.6700889802,nan
Frank Sedgman,41.2457221081,nan
Tom Christensen,nan,nan
Zlatko Ivancic,nan,nan
Pierre Jauffret,nan,nan
V Kazarevitch,nan,nan
Bernard Paul,nan,nan
Michal Lewandowski,nan,nan
Joseph Mateo,nan,nan
Bernard De Troye,nan,nan
George Deniau,nan,nan
Ashley Cooper,31.696098562600003,nan
Jean Claude Molinari,nan,nan
Lars Olander,nan,nan
Adrian Pena,nan,nan
Tito Vazquez,19.318275154000002,nan
Jorge Andrew,16.4845995893,nan
Norberto Herrero,nan,nan
Edison Mandarino,27.104722792600004,nan
Stojan Velev,20.2436687201,nan
Kiril Yashmakov,22.2970568104,nan
Remzi Aydin,19.5126625599,nan
Tahsin Gursoy,23.6769336071,nan
Ljuben Genov,22.6666666667,nan
Harry Fauquier,26.3572895277,nan
Richard Russell,22.6502395619,nan
Miguel Olvera,nan,nan
Omar Pabst,nan,nan
Julio Moros,nan,nan
Jan Hajer,nan,nan
Pekka Petersen Dyggve,24.596851471599997,nan
Alfredo Vaz Pinto,29.0869267625,nan
Tarmo Jokinen,21.4976043806,nan
Joao Lagos,23.6687200548,nan
Periclis Gavrilidis,nan,nan
Diko Murdono,nan,nan
Felicisimo Ampon,47.49623545520001,nan
Keishiro Yanagi,27.572895277199997,nan
Shyam Minotra,21.607118412,nan
Rupert Ferdinands,nan,nan
Jaidip Mukerjea,26.0150581793,nan
Senaka Kumara,nan,nan
Anand Amritraj,16.1013004791,185.0
Hussain Akbari,nan,nan
Josef Stabholz,nan,nan
Taghi Akbari,nan,nan
Eleazar Davidman,31.397672826799997,nan
Issa Khodaei,21.0239561944,nan
Patrick Landau,nan,nan
Adrien Viviani,nan,nan
Andres Vatrican,nan,nan
Francisco Truchi,25.3442847365,nan
Alain Manigley,nan,nan
Ek Son Lee,nan,nan
Yong Ho Chung,24.273785078699998,nan
Moon Il Kim,nan,nan
Ichizo Konishi,29.155373032199996,nan
Frithjof Prydz,24.802190280599998,nan
Thierry Brasseur,nan,nan
Frank Baden,29.065023956199997,nan
Nils Elvik,23.258042436700002,nan
Sultan Aman Azman,nan,nan
Bernard Pinto,39.624914442199994,nan
Billy Yap,nan,nan
Adrian Bey,29.971252566700002,nan
Frank Saloman,25.401779603,nan
Jim Bentley,nan,nan
Tony Bardsley,24.49555099,nan
C Burr,nan,nan
Lester Sack,nan,nan
Doug Tough,nan,nan
Bob Bardsley,nan,nan
Brian Flood,nan,nan
Roy Sprengelmeyer,nan,nan
Michael Sprenglemeyer,23.09377139,nan
Vic Rollins,nan,nan
John Mcmanus,nan,nan
Bob French,nan,nan
John Swann,nan,nan
Bill Monan,nan,nan
Armando Cornejo,nan,nan
Hector Gonzalez,nan,nan
David Brown,nan,nan
Andre Cote,nan,nan
Ken Binns,34.49965777,175.0
Steve Cornell,20.20533881,178.0
George Andrews,nan,nan
Joe Osadca,nan,nan
Gerry Perry,22.19028063,168.0
William Higgins,27.35386721,nan
Don Mccormick,24.32580424,180.0
Tony Pospisil,nan,nan
Bill Mcdonnell,nan,nan
Don Fontana,nan,nan
Richard Evans,19.01711157,nan
Pedro Langre,nan,nan
Joe Foley,nan,nan
Fred Mcnair,18.97878166,183.0
Glenn Mccoll,nan,nan
Henry Bunis,16.29842574,nan
Al Bunis,45.44284736,nan
John Peckskamp,nan,nan
Nick Barone,nan,nan
David Mehl,nan,nan
Tom Loring,nan,nan
Alphonso Ochoa,nan,nan
Fred Mcnair Iii,nan,nan
Dave Harmon,nan,nan
